244110.68766, 3,   0.567,  9.524,  0.266, 4,  -0.233, -0.087,  0.171
244110.69205, 3,   0.481,  9.400,  0.443, 4,  -0.213, -0.039,  0.122
244110.69645, 3,   0.400,  9.515,  0.457, 4,  -0.171, -0.010,  0.092
244110.70081, 3,   0.491,  9.567,  0.481, 4,  -0.157,  0.014,  0.065
244110.70520, 3,   0.352,  9.500,  0.515, 4,  -0.118,  0.040,  0.046
244110.70957, 3,   0.419,  9.481,  0.524, 4,  -0.097,  0.056,  0.030
244110.71396, 3,   0.271,  9.572,  0.587, 4,  -0.071,  0.058, -0.011, 5,  12.431,-44.823, -0.040
244110.71836, 3,   0.429,  9.558,  0.505, 4,  -0.055,  0.067,  0.001
244110.72272, 3,   0.156,  9.601,  0.630, 4,  -0.007,  0.064, -0.021
244110.72712, 3,   0.247,  9.519,  0.452, 4,   0.013,  0.052, -0.038
244110.73148, 3,   0.175,  9.558,  0.347, 4,   0.022,  0.038, -0.042
244110.73587, 3,   0.160,  9.649,  0.338, 4,   0.022,  0.032, -0.028
244110.74024, 3,   0.065,  9.649,  0.275, 4,   0.025,  0.020, -0.015
244110.74463, 3,   0.223,  9.586,  0.347, 4,   0.011, -0.010, -0.014
244110.74903, 3,   0.031,  9.543,  0.165, 4,   0.012, -0.044, -0.011
244110.75339, 3,   0.026,  9.586,  0.223, 4,  -0.022, -0.054,  0.010
244110.75779, 3,   0.069,  9.538,  0.189, 4,  -0.010, -0.089,  0.015
244110.76215, 3,   0.122,  9.553,  0.199, 4,  -0.045, -0.099,  0.014
244110.76655, 3,   0.098,  9.467,  0.184, 4,  -0.048, -0.110,  0.022
244110.77094, 3,   0.108,  9.558,  0.103, 4,  -0.063, -0.087,  0.014
244110.77530, 3,   0.170,  9.577,  0.036, 4,  -0.089, -0.078, -0.002
244110.77970, 3,   0.194,  9.582,  0.031, 4,  -0.092, -0.045,  0.004
244110.78406, 3,   0.141,  9.553,  0.208, 4,  -0.097, -0.020, -0.028
244110.78846, 3,   0.141,  9.538,  0.294, 4,  -0.095,  0.003, -0.052
244110.79282, 3,   0.117,  9.634,  0.218, 4,  -0.114,  0.003, -0.037
244110.79722, 3,   0.041,  9.486,  0.208, 4,  -0.105,  0.014, -0.059
244110.80161, 3,   0.065,  9.400,  0.366, 4,  -0.093,  0.010, -0.066
244110.80597, 3,   0.074,  9.543,  0.180, 4,  -0.060,  0.011, -0.062
244110.81037, 3,   0.141,  9.491,  0.261, 4,  -0.062, -0.015, -0.070
244110.81473, 3,   0.113,  9.538,  0.304, 4,  -0.049, -0.032, -0.068
244110.81913, 3,   0.136,  9.500,  0.275, 4,  -0.037, -0.040, -0.084
244110.82352, 3,   0.165,  9.510,  0.357, 4,  -0.019, -0.042, -0.101
244110.82789, 3,   0.022,  9.625,  0.314, 4,  -0.028, -0.024, -0.103
244110.83228, 3,  -0.022,  9.658,  0.362, 4,  -0.042, -0.001, -0.111
244110.83664, 3,  -0.065,  9.697,  0.113, 4,  -0.026,  0.007, -0.117
244110.84104, 3,  -0.060,  9.548,  0.136, 4,  -0.042,  0.004, -0.118
244110.84540, 3,  -0.136,  9.586,  0.151, 4,  -0.026,  0.033, -0.120
244110.84980, 3,  -0.175,  9.749,  0.266, 4,  -0.038,  0.059, -0.103
244110.85419, 3,  -0.170,  9.701,  0.232, 4,  -0.038,  0.032, -0.115
244110.85856, 3,  -0.175,  9.835,  0.160, 4,  -0.054,  0.043, -0.083
244110.86295, 3,  -0.199,  9.744,  0.247, 4,  -0.075,  0.048, -0.077
244110.86731, 3,  -0.136,  9.730,  0.208, 4,  -0.079,  0.011, -0.053
244110.87171, 3,  -0.093,  9.701,  0.299, 4,  -0.107, -0.017, -0.042
244110.87610, 3,  -0.026,  9.778,  0.290, 4,  -0.133, -0.046, -0.014
244110.88047, 3,   0.007,  9.658,  0.194, 4,  -0.135, -0.098,  0.012
244110.88486, 3,  -0.089,  9.783,  0.251, 4,  -0.174, -0.130,  0.035
244110.88923, 3,  -0.065,  9.644,  0.184, 4,  -0.191, -0.169,  0.052
244110.89362, 3,  -0.103,  9.888,  0.180, 4,  -0.197, -0.211,  0.070
244110.89798, 3,  -0.055,  9.735,  0.223, 4,  -0.240, -0.189,  0.076, 5,  12.431,-46.510, -1.016
244110.90238, 3,   0.074,  9.725,  0.362, 4,  -0.259, -0.181,  0.087
244110.90677, 3,   0.141,  9.749,  0.362, 4,  -0.278, -0.166,  0.089
244110.91114, 3,   0.156,  9.831,  0.194, 4,  -0.276, -0.112,  0.062
244110.91553, 3,   0.318,  9.859,  0.467, 4,  -0.295, -0.059,  0.048
244110.91990, 3,   0.352,  9.807,  0.515, 4,  -0.278, -0.028,  0.035
244110.92429, 3,   0.314,  9.783,  0.481, 4,  -0.274,  0.004,  0.026
244110.92868, 3,   0.347,  9.744,  0.692, 4,  -0.235,  0.013, -0.012
244110.93305, 3,   0.429,  9.855,  0.558, 4,  -0.208,  0.007, -0.027
244110.93744, 3,   0.443,  9.941,  0.730, 4,  -0.199,  0.005, -0.065
244110.94181, 3,   0.266,  9.936,  0.644, 4,  -0.179,  0.003, -0.082
244110.94620, 3,   0.122, 10.008,  0.706, 4,  -0.160,  0.014, -0.087
244110.95060, 3,   0.036,  9.946,  0.673, 4,  -0.126,  0.005, -0.113
244110.95496, 3,  -0.098,  9.874,  0.630, 4,  -0.105,  0.029, -0.126
244110.95936, 3,  -0.204,  9.984,  0.567, 4,  -0.070,  0.062, -0.129
244110.96372, 3,  -0.213, 10.041,  0.687, 4,  -0.070,  0.087, -0.126
244110.96811, 3,  -0.261, 10.080,  0.668, 4,  -0.054,  0.114, -0.133
244110.97248, 3,  -0.208, 10.175,  0.639, 4,  -0.052,  0.117, -0.125
244110.97687, 3,  -0.242, 10.137,  0.716, 4,  -0.045,  0.107, -0.128
244110.98127, 3,  -0.146, 10.070,  0.749, 4,  -0.040,  0.121, -0.107
244110.98563, 3,  -0.146, 10.099,  0.529, 4,  -0.029,  0.089, -0.119
244110.99003, 3,  -0.194, 10.142,  0.486, 4,   0.010,  0.048, -0.118
244110.99439, 3,  -0.189, 10.252,  0.548, 4,  -0.023,  0.016, -0.127
244110.99878, 3,  -0.208, 10.262,  0.433, 4,  -0.022,  0.001, -0.124
244111.00318, 3,  -0.405, 10.343,  0.342, 4,  -0.030, -0.029, -0.116
